Code	State
1	1-1-5-5
2	1-1-5-6
3	1-1-5-7
4	1-1-5-8
5	1-1-6-6
6	1-1-6-7
7	1-1-6-8
8	1-1-7-7
9	1-1-7-8
10	1-1-8-8
11	1-2-5-5
12	1-2-5-6
13	1-2-5-7
14	1-2-5-8
15	1-2-6-6
16	1-2-6-7
17	1-2-6-8
18	1-2-7-7
19	1-2-7-8
20	1-2-8-8
21	1-3-5-5
22	1-3-5-6
23	1-3-5-7
24	1-3-5-8
25	1-3-6-6
26	1-3-6-7
27	1-3-6-8
28	1-3-7-7
29	1-3-7-8
30	1-3-8-8
31	1-4-5-5
32	1-4-5-6
33	1-4-5-7
34	1-4-5-8
35	1-4-6-6
36	1-4-6-7
37	1-4-6-8
38	1-4-7-7
39	1-4-7-8
40	1-4-8-8
41	2-2-5-5
42	2-2-5-6
43	2-2-5-7
44	2-2-5-8
45	2-2-6-6
46	2-2-6-7
47	2-2-6-8
48	2-2-7-7
49	2-2-7-8
50	2-2-8-8
51	2-3-5-5
52	2-3-5-6
53	2-3-5-7
54	2-3-5-8
55	2-3-6-6
56	2-3-6-7
57	2-3-6-8
58	2-3-7-7
59	2-3-7-8
60	2-3-8-8
61	2-4-5-5
62	2-4-5-6
63	2-4-5-7
64	2-4-5-8
65	2-4-6-6
66	2-4-6-7
67	2-4-6-8
68	2-4-7-7
69	2-4-7-8
70	2-4-8-8
71	3-3-5-5
72	3-3-5-6
73	3-3-5-7
74	3-3-5-8
75	3-3-6-6
76	3-3-6-7
77	3-3-6-8
78	3-3-7-7
79	3-3-7-8
80	3-3-8-8
81	3-4-5-5
82	3-4-5-6
83	3-4-5-7
84	3-4-5-8
85	3-4-6-6
86	3-4-6-7
87	3-4-6-8
88	3-4-7-7
89	3-4-7-8
90	3-4-8-8
91	4-4-5-5
92	4-4-5-6
93	4-4-5-7
94	4-4-5-8
95	4-4-6-6
96	4-4-6-7
97	4-4-6-8
98	4-4-7-7
99	4-4-7-8
100	4-4-8-8
