"gene","chromosome","padj","log2FoldChange","start","end","label"
"PGSC0003DMG400032056","ST4.03ch00",0.787425593721893,0.0114310427057792,45813195,45813526,"Protein transporter"
"PGSC0003DMG400018039","ST4.03ch01",0.630070120892554,0.00528879721201982,88623473,88627702,"PhD-finger protein"
"PGSC0003DMG400020231","ST4.03ch02",0.863612214011189,0.00361853752133127,48563271,48578978,"Acetyl-CoA synthetase"
"PGSC0003DMG400009197","ST4.03ch03",0.530197666949992,0.0319719569400624,62256322,62258929,"Phosphatidylcholine transfer protein"
"PGSC0003DMG403025662","ST4.03ch04",0.975221205838997,0.00224886771575861,72168842,72170119,"Conserved gene of unknown function"
"PGSC0003DMG400023316","ST4.03ch05",NA,-0.000725717347121954,52039916,52040326,"Conserved gene of unknown function"
"PGSC0003DMG400024039","ST4.03ch06",0.843619990297454,-0.00323353669874178,59476003,59476545,"30S ribosomal protein S4, chloroplastic"
"PGSC0003DMG400022114","ST4.03ch07",0.943538254974624,-0.00337254371641934,56710790,56715111,"Ent-kaurene synthase B, chloroplast"
"PGSC0003DMG400012222","ST4.03ch08",0.403185080101377,0.0289882171879909,56844094,56849780,"B3 domain-containing transcription factor NGA1"
"PGSC0003DMG400043098","ST4.03ch09",NA,-0.000240527827150271,61532280,61539681,"Conserved gene of unknown function"
"PGSC0003DMG400007193","ST4.03ch10",0.856043939885669,-0.00593427682872473,59678587,59684952,"RRM RNA binding protein NSAP1"
"PGSC0003DMG400035146","ST4.03ch11",0.830778252089276,-0.00817932141420296,45406621,45409456,"ALY protein"
"PGSC0003DMG400004280","ST4.03ch12",0.789017071700776,0.015838853073511,61145687,61152223,"Phytocalpain"
"PGSC0003DMG400022107","ST4.03ch00",0.0488080556092736,0.837554728065987,37982642,37983486,"Peptide transporter"
"PGSC0003DMG400022661","ST4.03ch01",0.03617072397718,-0.180814815755066,58282556,58286833,"Conserved gene of unknown function"
"PGSC0003DMG400029752","ST4.03ch01",0.0488080556092736,1.6143995283083,81502150,81503298,"Gene of unknown function"
"PGSC0003DMG400025889","ST4.03ch01",0.00465465756732326,0.437827414255362,84455276,84461796,"Phi-2"
"PGSC0003DMG400003322","ST4.03ch02",0.0488080556092736,0.325294732291802,22613936,22621630,"Conserved gene of unknown function"
"PGSC0003DMG400031752","ST4.03ch02",0.0265826378725836,0.767818926882115,33227181,33231092,"Leucine-rich repeat receptor kinase"
"PGSC0003DMG400026406","ST4.03ch02",0.0488080556092736,0.381115734932696,41353099,41356201,"Conserved gene of unknown function"
"PGSC0003DMG400021423","ST4.03ch02",0.0313521729036313,0.663228978794377,42345193,42346544,"Homeodomain leucine-zipper 1"
"PGSC0003DMG400013449","ST4.03ch03",0.0488080556092736,-0.80397104510684,533276,541399,"SNF2 domain-containing protein"
"PGSC0003DMG400019758","ST4.03ch03",0.0492959519422238,-0.345054841730421,9255022,9259697,"Dihydrodipicolinate synthase, chloroplastic"
"PGSC0003DMG400030266","ST4.03ch03",0.0488080556092736,1.13851827105836,34865799,34866363,"Gene of unknown function"
"PGSC0003DMG400010129","ST4.03ch03",0.0189619102329928,-0.000757883954469322,43950496,43951544,"Aspartic protease inhibitor 10"
"PGSC0003DMG400033693","ST4.03ch03",0.00479952204342939,0.0119509746135698,48458585,48461113,"UPA16"
"PGSC0003DMG400033681","ST4.03ch03",0.0488080556092736,-0.153811299493505,48537414,48543917,"GTP-binding protein alpha subunit, gna"
"PGSC0003DMG400010173","ST4.03ch03",0.0488080556092736,-0.367724671876429,49371716,49373868,"Avr9/Cf-9 rapidly elicited protein 140"
"PGSC0003DMG400010136","ST4.03ch03",0.0488080556092736,-0.0189544485609732,49713158,49714012,"Stigma expressed protein"
"PGSC0003DMG400002638","ST4.03ch03",0.0184399437274857,3.05854325349036,59895662,59899181,"Phospholipase"
"PGSC0003DMG400020625","ST4.03ch04",0.0297295015685209,0.384316272437415,51602153,51603952,"AP2/ERF domain-containing transcription factor"
"PGSC0003DMG401019696","ST4.03ch04",0.0488080556092736,-0.643303334488333,55441725,55450346,"Cell division protein kinase 7"
"PGSC0003DMG400008035","ST4.03ch04",0.0189619102329928,-0.664260341507375,67797652,67799879,"Gene of unknown function"
"PGSC0003DMG400009885","ST4.03ch04",0.0488080556092736,0.337232006558452,71206713,71209283,"Pentatricopeptide repeat-containing protein"
"PGSC0003DMG400009888","ST4.03ch04",0.0488080556092736,-0.336792340356538,71269507,71274336,"Mechanosensitive ion channel domain-containing protein"
"PGSC0003DMG402030529","ST4.03ch05",0.0414162005836396,1.09779975123452,3465923,3468268,"Conserved gene of unknown function"
"PGSC0003DMG400018614","ST4.03ch05",0.0404573491214596,0.669187191556258,10344276,10346306,"Conserved gene of unknown function"
"PGSC0003DMG400014585","ST4.03ch05",0.0259148799560364,-0.0181915144250663,46050230,46053131,"Restin"
